item1,item2,count
sugar,salt,18
specialty bar,berries,18
mustard,domestic eggs,18
soft cheese,dessert,18
cake bar,bottled water,18
margarine,roll products,18
misc. beverages,whipped/sour cream,18
canned beer,whipped/sour cream,18
chocolate marshmallow,domestic eggs,18
pasta,frozen meals,18
shopping bags,pasta,18
shopping bags,dog food,18
dental care,whole milk,18
roll products,whipped/sour cream,18
flour,sausage,18
oil,berries,18
chocolate marshmallow,tropical fruit,18
white wine,root vegetables,18
salty snack,UHT-milk,18
mustard,citrus fruit,18
newspapers,specialty bar,18
beef,meat,18
oil,flour,18
coffee,flour,18
bottled beer,canned fish,18
canned beer,onions,18
UHT-milk,butter milk,18
vinegar,yogurt,18
frozen fish,frozen vegetables,18
frozen dessert,frozen vegetables,18
semi-finished bread,pork,18
napkins,baking powder,18
bottled beer,ice cream,18
coffee,hard cheese,18
chocolate,beverages,18
shopping bags,potted plants,18
dishes,whipped/sour cream,18
packaged fruit/vegetables,sausage,18
chocolate,flour,18
frozen meals,dessert,18
instant coffee,rolls/buns,18
specialty chocolate,coffee,18
chewing gum,citrus fruit,18
flour,chicken,18
specialty bar,specialty chocolate,18
waffles,grapes,18
baking powder,flour,18
newspapers,baking powder,18
pasta,sausage,18
frozen vegetables,processed cheese,18
bottled beer,roll products,18
long life bakery product,soft cheese,18
cake bar,pip fruit,18
house keeping products,yogurt,18
napkins,ice cream,18
jam,other vegetables,18
shopping bags,flour,18
soda,dog food,18
long life bakery product,meat,18
frozen meals,chicken,18
canned fish,frankfurter,18
cake bar,root vegetables,18
salty snack,flour,17
waffles,sugar,17
semi-finished bread,domestic eggs,17
semi-finished bread,brown bread,17
specialty chocolate,butter,17
specialty chocolate,frankfurter,17
bottled beer,salt,17
chewing gum,root vegetables,17
UHT-milk,berries,17
dishes,domestic eggs,17
sugar,hard cheese,17
soft cheese,ham,17
dishes,pork,17
bottled water,specialty cheese,17
salty snack,butter milk,17
shopping bags,dishes,17
frozen fish,frankfurter,17
bottled beer,sliced cheese,17
specialty bar,cream cheese,17
detergent,curd,17
spread cheese,root vegetables,17
brown bread,spread cheese,17
dish cleaner,whipped/sour cream,17
house keeping products,rolls/buns,17
canned fish,whipped/sour cream,17
napkins,canned fish,17
sugar,onions,17
berries,meat,17
baking powder,cream cheese,17
misc. beverages,brown bread,17
packaged fruit/vegetables,citrus fruit,17
pasta,beef,17
pasta,pastry,17
bottled beer,hard cheese,17
specialty chocolate,curd,17
hamburger meat,meat,17
zwieback,other vegetables,17
zwieback,whole milk,17
specialty bar,frankfurter,17
chewing gum,pastry,17
frozen vegetables,packaged fruit/vegetables,17
chewing gum,salty snack,17
cat food,dessert,17
liquor (appetizer),canned beer,17
seasonal products,root vegetables,17
rum,whole milk,17
coffee,ham,17
chocolate,sliced cheese,17
house keeping products,root vegetables,17
newspapers,mustard,17
hygiene articles,UHT-milk,17
UHT-milk,hamburger meat,17
baking powder,pork,17
pickled vegetables,pork,17
potted plants,beef,17
coffee,canned fish,17
waffles,hamburger meat,17
margarine,pasta,17
white wine,canned beer,17
butter milk,chicken,17
soda,finished products,17
chicken,ham,17
onions,ham,17
grapes,chicken,17
soups,root vegetables,17
candles,root vegetables,17
pastry,packaged fruit/vegetables,17
pastry,spread cheese,17
pickled vegetables,whipped/sour cream,17
chewing gum,whipped/sour cream,17
canned fish,domestic eggs,17
fruit/vegetable juice,mustard,17
seasonal products,coffee,17
shopping bags,mayonnaise,17
soft cheese,onions,17
margarine,mayonnaise,17
long life bakery product,processed cheese,17
dishes,pastry,17
citrus fruit,turkey,17
margarine,herbs,17
bottled beer,cat food,17
pork,ham,17
detergent,pork,17
salt,sausage,17
detergent,white bread,17
house keeping products,soda,17
canned vegetables,pip fruit,17
abrasive cleaner,whole milk,16
sweet spreads,rolls/buns,16
abrasive cleaner,other vegetables,16
candy,sugar,16
newspapers,spread cheese,16
brown bread,packaged fruit/vegetables,16
seasonal products,frozen vegetables,16
flower (seeds),butter,16
canned vegetables,domestic eggs,16
berries,hamburger meat,16
canned beer,sliced cheese,16
pasta,chicken,16
pickled vegetables,oil,16
hygiene articles,misc. beverages,16
frozen vegetables,beverages,16
specialty cheese,tropical fruit,16
shopping bags,condensed milk,16
dish cleaner,citrus fruit,16
baking powder,oil,16
cream cheese,meat,16
cream cheese,beverages,16
house keeping products,sausage,16
canned vegetables,whipped/sour cream,16
canned fish,citrus fruit,16
skin care,whole milk,16
hygiene articles,dessert,16
tea,whole milk,16
hygiene articles,flour,16
frozen fish,citrus fruit,16
pip fruit,turkey,16
potted plants,brown bread,16
canned beer,oil,16
pickled vegetables,dessert,16
newspapers,chewing gum,16
cleaner,yogurt,16
cat food,sugar,16
misc. beverages,margarine,16
specialty chocolate,misc. beverages,16
waffles,beverages,16
waffles,hard cheese,16
napkins,candy,16
frozen meals,hamburger meat,16
newspapers,liquor (appetizer),16
butter milk,ham,16
napkins,flour,16
house keeping products,tropical fruit,16
chocolate,mayonnaise,16
fruit/vegetable juice,frozen potato products,16
spread cheese,citrus fruit,16
white wine,fruit/vegetable juice,16
canned beer,frozen vegetables,16
newspapers,white wine,16
cling film/bags,citrus fruit,16
bottled water,canned fish,16
fruit/vegetable juice,canned fish,16
female sanitary products,rolls/buns,16
beverages,pork,16
vinegar,rolls/buns,16
specialty chocolate,chicken,16
cleaner,other vegetables,16
long life bakery product,canned beer,16
liquor (appetizer),whole milk,16
flower (seeds),soda,16
potted plants,bottled beer,16
bottled beer,semi-finished bread,16
fruit/vegetable juice,condensed milk,16
ice cream,frozen vegetables,16
chocolate marshmallow,chocolate,16
female sanitary products,yogurt,16
hard cheese,soft cheese,16
pasta,domestic eggs,16
potted plants,margarine,16
baking powder,pastry,16
salty snack,grapes,16
cling film/bags,root vegetables,16
long life bakery product,pork,16
salty snack,oil,16
soda,salt,16
soups,citrus fruit,16
mayonnaise,tropical fruit,16
chocolate,UHT-milk,16
bottled beer,processed cheese,16
waffles,oil,16
dog food,tropical fruit,16
softener,other vegetables,16
vinegar,root vegetables,16
butter milk,onions,16
dish cleaner,root vegetables,16
candy,processed cheese,16
napkins,processed cheese,16
waffles,butter milk,16
cat food,hamburger meat,16
shopping bags,dish cleaner,16
pastry,frozen dessert,16
specialty chocolate,frozen vegetables,16
roll products,pork,16
soda,roll products,16
bottled beer,berries,16
domestic eggs,beverages,16
waffles,cat food,16
cat food,cream cheese,16
specialty chocolate,pork,16
canned vegetables,sausage,16
hygiene articles,salty snack,16
hygiene articles,frozen meals,16
long life bakery product,grapes,16
flower (seeds),whipped/sour cream,16
long life bakery product,pickled vegetables,16
house keeping products,napkins,16
condensed milk,yogurt,16
salty snack,onions,16
rolls/buns,curd cheese,16
pickled vegetables,butter,16
bottled water,turkey,16
popcorn,other vegetables,16
popcorn,root vegetables,16
brown bread,ice cream,16
mustard,margarine,16
specialty bar,coffee,16
ice cream,citrus fruit,16
sliced cheese,hamburger meat,16
canned vegetables,hamburger meat,16
dishes,butter,15
specialty bar,canned beer,15
curd,turkey,15
fruit/vegetable juice,turkey,15
canned fish,frozen vegetables,15
bottled water,salt,15
fruit/vegetable juice,salt,15
fruit/vegetable juice,canned vegetables,15
onions,berries,15
oil,pasta,15
detergent,berries,15
hygiene articles,hard cheese,15
frozen fish,frozen meals,15
specialty bar,curd,15
shopping bags,liquor (appetizer),15
dish cleaner,sausage,15
onions,meat,15
beverages,curd,15
tea,other vegetables,15
long life bakery product,sliced cheese,15
salt,citrus fruit,15
bottled water,frozen dessert,15
dishes,beef,15
napkins,pickled vegetables,15
frozen potato products,frankfurter,15
processed cheese,pork,15
brown bread,processed cheese,15
cling film/bags,napkins,15
frozen meals,hard cheese,15
other vegetables,liver loaf,15
condensed milk,tropical fruit,15
napkins,dish cleaner,15
fruit/vegetable juice,sweet spreads,15
specialty bar,domestic eggs,15
cake bar,berries,15
rolls/buns,liver loaf,15
seasonal products,frankfurter,15
rice,rolls/buns,15
frozen meals,meat,15
shopping bags,house keeping products,15
hygiene articles,detergent,15
packaged fruit/vegetables,beef,15
chocolate,mustard,15
roll products,domestic eggs,15
frozen dessert,frozen meals,15
domestic eggs,frozen dessert,15
specialty bar,whipped/sour cream,15
canned fish,pip fruit,15
seasonal products,brown bread,15
specialty bar,margarine,15
semi-finished bread,beef,15
ketchup,whole milk,15
newspapers,canned fish,15
roll products,citrus fruit,15
rum,other vegetables,15
herbs,hamburger meat,15
soups,whipped/sour cream,15
candles,tropical fruit,15
packaged fruit/vegetables,chicken,15
chewing gum,canned beer,15
berries,ham,15
flower (seeds),bottled water,15
mayonnaise,whipped/sour cream,15
oil,grapes,15
sparkling wine,other vegetables,15
sliced cheese,berries,15
hard cheese,berries,15
dishes,cream cheese,15
frozen potato products,root vegetables,15
brown bread,herbs,15
sweet spreads,white bread,15
newspapers,flour,15
curd cheese,tropical fruit,15
dish cleaner,bottled water,15
ice cream,grapes,15
misc. beverages,dessert,15
canned fish,butter,15
canned fish,margarine,15
baking powder,white bread,15
seasonal products,domestic eggs,15
detergent,domestic eggs,15
fruit/vegetable juice,dog food,15
chocolate marshmallow,yogurt,15
seasonal products,pip fruit,15
shopping bags,baking powder,15
long life bakery product,ice cream,15
chocolate,red/blush wine,15
semi-finished bread,ham,15
sliced cheese,meat,15
ketchup,other vegetables,15
long life bakery product,misc. beverages,15
yogurt,liver loaf,15
hygiene articles,specialty chocolate,15
Instant food products,tropical fruit,15
butter,turkey,15
waffles,onions,15
candy,oil,15
salt,onions,15
salty snack,misc. beverages,15
long life bakery product,beverages,15
ice cream,chicken,15
pastry,frozen potato products,15
condensed milk,root vegetables,15
candy,specialty bar,15
sauces,other vegetables,15
cat food,UHT-milk,15
herbs,sausage,15
UHT-milk,onions,15
margarine,frozen dessert,15
seasonal products,dessert,15
baking powder,beef,15
red/blush wine,pip fruit,15
salt,pip fruit,15
fruit/vegetable juice,herbs,15
canned beer,sugar,15
specialty bar,butter,15
shopping bags,cling film/bags,15
liquor (appetizer),other vegetables,14
processed cheese,cream cheese,14
ice cream,beef,14
cat food,ham,14
chocolate,pickled vegetables,14
flower (seeds),margarine,14
soda,meat spreads,14
red/blush wine,brown bread,14
dishes,bottled beer,14
rice,pip fruit,14
misc. beverages,hard cheese,14
baking powder,frankfurter,14
dental care,rolls/buns,14
chocolate,cake bar,14
candles,citrus fruit,14
bottled beer,beverages,14
shopping bags,finished products,14
frozen meals,cream cheese,14
domestic eggs,frozen fish,14
sugar,sliced cheese,14
beverages,butter milk,14
hard cheese,butter milk,14
hard cheese,beverages,14
frozen dessert,citrus fruit,14
frozen dessert,curd,14
frozen dessert,whipped/sour cream,14
skin care,rolls/buns,14
napkins,red/blush wine,14
grapes,hamburger meat,14
pet care,root vegetables,14
soups,pip fruit,14
pasta,dessert,14
waffles,pasta,14
specialty cheese,whipped/sour cream,14
napkins,mustard,14
pasta,white bread,14
spices,whole milk,14
hard cheese,meat,14
roll products,curd,14
specialty chocolate,cream cheese,14
chewing gum,curd,14
candy,chocolate marshmallow,14
packaged fruit/vegetables,berries,14
cat food,berries,14
hygiene articles,ham,14
pasta,frozen vegetables,14
cling film/bags,frozen vegetables,14
soda,specialty cheese,14
sliced cheese,chicken,14
zwieback,rolls/buns,14
white bread,ice cream,14
root vegetables,liver loaf,14
pasta,curd,14
candy,dessert,14
misc. beverages,white bread,14
fruit/vegetable juice,spread cheese,14
mustard,mayonnaise,14
mustard,oil,14
coffee,mustard,14
white bread,beverages,14
female sanitary products,soda,14
whipped/sour cream,packaged fruit/vegetables,14
seasonal products,bottled water,14
UHT-milk,beef,14
coffee,frozen dessert,14
fruit/vegetable juice,roll products,14
napkins,herbs,14
chocolate marshmallow,waffles,14
oil,sliced cheese,14
herbs,onions,14
beverages,frankfurter,14
frozen fish,sausage,14
female sanitary products,other vegetables,14
coffee,pasta,14
dog food,citrus fruit,14
beverages,chicken,14
dog food,root vegetables,14
shopping bags,popcorn,14
bottled water,roll products,14
salty snack,ham,14
salt,tropical fruit,14
salt,butter,14
specialty chocolate,dessert,14
specialty chocolate,ice cream,14
potted plants,butter,14
dessert,onions,14
specialty cheese,citrus fruit,14
zwieback,yogurt,14
chocolate,canned fish,14
mayonnaise,frankfurter,14
flour,brown bread,14
mustard,pastry,14
potted plants,domestic eggs,14
rice,frozen vegetables,14
bottled water,dog food,14
chocolate marshmallow,pork,14
specialty bar,dessert,14
domestic eggs,ice cream,14
cat food,white bread,14
chocolate marshmallow,pastry,14
pickled vegetables,white bread,14
salty snack,pickled vegetables,14
semi-finished bread,white bread,14
waffles,processed cheese,14
napkins,semi-finished bread,14
pastry,finished products,14
Instant food products,pastry,14
pet care,yogurt,14
red/blush wine,domestic eggs,14
flower (seeds),yogurt,14
oil,ham,14
coffee,roll products,14
candy,bottled beer,14
domestic eggs,mayonnaise,14
roll products,butter,14
butter milk,hamburger meat,14
bottled water,condensed milk,14
whole milk,finished products,14
zwieback,tropical fruit,14
Instant food products,yogurt,14
soft cheese,berries,14
dish cleaner,tropical fruit,14
cat food,frozen vegetables,14
long life bakery product,onions,14
pasta,pork,14
sweet spreads,pip fruit,14
pickled vegetables,UHT-milk,14
cling film/bags,margarine,14
waffles,canned fish,14
long life bakery product,hamburger meat,14
newspapers,salt,14
shopping bags,canned vegetables,14
condensed milk,citrus fruit,14
chocolate,semi-finished bread,14
margarine,salt,14
canned fish,beef,14
condensed milk,pip fruit,14
specialty chocolate,ham,14
specialty cheese,pip fruit,14
sweet spreads,tropical fruit,13
cereals,root vegetables,13
grapes,ham,13
brown bread,turkey,13
frozen potato products,pip fruit,13
specialty chocolate,margarine,13
meat spreads,whole milk,13
bottled beer,flour,13
canned vegetables,frozen vegetables,13
waffles,sliced cheese,13
detergent,chicken,13
detergent,brown bread,13
cling film/bags,whipped/sour cream,13
dishes,sausage,13
red/blush wine,margarine,13
rice,domestic eggs,13
canned fruit,whole milk,13
dessert,grapes,13
oil,meat,13
tea,tropical fruit,13
spices,sausage,13
frozen dessert,frankfurter,13
hygiene articles,herbs,13
waffles,baking powder,13
potted plants,sausage,13
abrasive cleaner,root vegetables,13
hygiene articles,pickled vegetables,13
napkins,soft cheese,13
dishes,coffee,13
candy,ham,13
chocolate marshmallow,margarine,13
pasta,hard cheese,13
salty snack,hard cheese,13
male cosmetics,bottled water,13
newspapers,dental care,13
instant coffee,root vegetables,13
ice cream,pork,13
bottled water,rice,13
white wine,pip fruit,13
detergent,coffee,13
frozen potato products,pork,13
dish cleaner,coffee,13
sugar,butter milk,13
oil,roll products,13
frozen dessert,pork,13
baking powder,hard cheese,13
pickled vegetables,meat,13
coffee,semi-finished bread,13
roll products,beef,13
liquor,other vegetables,13
cling film/bags,fruit/vegetable juice,13
meat spreads,rolls/buns,13
waffles,misc. beverages,13
female sanitary products,citrus fruit,13
pasta,brown bread,13
curd cheese,yogurt,13
red/blush wine,chicken,13
candles,rolls/buns,13
detergent,bottled beer,13
margarine,grapes,13
bottled water,pet care,13
misc. beverages,grapes,13
soups,rolls/buns,13
bottled beer,mustard,13
mustard,onions,13
dog food,rolls/buns,13
soda,jam,13
spread cheese,pork,13
spread cheese,pip fruit,13
dishes,fruit/vegetable juice,13
newspapers,dishes,13
shopping bags,brandy,13
misc. beverages,coffee,13
potted plants,grapes,13
specialty chocolate,canned beer,13
potted plants,chicken,13
canned vegetables,brown bread,13
soups,margarine,13
seasonal products,pork,13
cocoa drinks,whole milk,13
long life bakery product,oil,13
rice,chicken,13
specialty chocolate,soft cheese,13
potted plants,cream cheese,13
frozen meals,grapes,13
instant coffee,whipped/sour cream,13
newspapers,soft cheese,13
chocolate,processed cheese,13
potted plants,frozen vegetables,13
cream cheese,grapes,13
white bread,UHT-milk,13
dish cleaner,pip fruit,13
beverages,butter,13
sugar,roll products,13
kitchen towels,tropical fruit,13
cake bar,white bread,13
cake bar,fruit/vegetable juice,13
house keeping products,citrus fruit,13
popcorn,fruit/vegetable juice,13
pet care,cat food,13
detergent,fruit/vegetable juice,13
light bulbs,other vegetables,13
canned beer,meat,13
oil,UHT-milk,13
pasta,frankfurter,13
specialty chocolate,cat food,13
popcorn,yogurt,13
oil,butter milk,13
ketchup,domestic eggs,13
kitchen towels,root vegetables,13
baking powder,hamburger meat,13
potted plants,long life bakery product,13
oil,soft cheese,13
house keeping products,whipped/sour cream,13
specialty bar,frozen meals,13
pudding powder,whole milk,13
jam,rolls/buns,13
Instant food products,curd,13
pet care,tropical fruit,13
flour,white bread,13
cooking chocolate,whole milk,13
UHT-milk,meat,13
whipped/sour cream,turkey,13
soda,ketchup,13
ice cream,frozen meals,13
pickled vegetables,cream cheese,13
house keeping products,chocolate,13
candy,frozen meals,13
frozen potato products,sausage,13
specialty bar,UHT-milk,13
specialty bar,beverages,12
long life bakery product,UHT-milk,12
chocolate marshmallow,bottled water,12
hygiene articles,chewing gum,12
napkins,chocolate marshmallow,12
detergent,salty snack,12
specialty fat,whole milk,12
specialty fat,margarine,12
canned vegetables,margarine,12
rice,pork,12
coffee,rice,12
specialty bar,grapes,12
softener,yogurt,12
sugar,rice,12
misc. beverages,frankfurter,12
bottled beer,soft cheese,12
ice cream,dessert,12
dishes,waffles,12
sugar,frozen fish,12
fruit/vegetable juice,frozen fish,12
hard cheese,beef,12
dessert,meat,12
beverages,dessert,12
sliced cheese,beverages,12
canned fish,curd,12
potato products,whole milk,12
bottled beer,grapes,12
bottled beer,frozen dessert,12
frozen vegetables,turkey,12
soda,soups,12
hygiene articles,butter milk,12
pickled vegetables,curd,12
mustard,beef,12
canned beer,canned fish,12
specialty chocolate,berries,12
chewing gum,cream cheese,12
chocolate marshmallow,root vegetables,12
condensed milk,sausage,12
dish cleaner,domestic eggs,12
hygiene articles,dish cleaner,12
hamburger meat,ham,12
instant coffee,tropical fruit,12
fruit/vegetable juice,packaged fruit/vegetables,12
domestic eggs,specialty cheese,12
rice,beef,12
bottled beer,pet care,12
bottled beer,spread cheese,12
packaged fruit/vegetables,pork,12
mayonnaise,beef,12
soda,frozen fish,12
newspapers,frozen fish,12
chewing gum,coffee,12
coffee,baking powder,12
chocolate marshmallow,frozen vegetables,12
kitchen towels,soda,12
candles,soda,12
detergent,long life bakery product,12
chocolate,meat,12
seasonal products,curd,12
kitchen towels,coffee,12
potted plants,coffee,12
bottled beer,soups,12
dish cleaner,hamburger meat,12
canned beer,cream cheese,12
jam,yogurt,12
newspapers,pasta,12
roll products,pip fruit,12
white wine,chicken,12
dishes,onions,12
potted plants,curd,12
sugar,ice cream,12
packaged fruit/vegetables,frankfurter,12
soft cheese,meat,12
margarine,frozen meals,12
napkins,beverages,12
whole milk,nuts/prunes,12
specialty chocolate,hard cheese,12
ice cream,frankfurter,12
ice cream,sliced cheese,12
beverages,berries,12
shopping bags,frozen fish,12
potted plants,berries,12
pastry,mayonnaise,12
mustard,UHT-milk,12
fruit/vegetable juice,mayonnaise,12
long life bakery product,flour,12
long life bakery product,mustard,12
coffee,processed cheese,12
cling film/bags,pip fruit,12
onions,grapes,12
cat food,flour,12
candy,UHT-milk,12
potted plants,chocolate,12
frozen dessert,pip fruit,12
dish cleaner,pastry,12
processed cheese,curd,12
specialty bar,ham,12
sauces,brown bread,12
waffles,pickled vegetables,12
specialty bar,brown bread,12
sauces,tropical fruit,12
roll products,chicken,12
skin care,other vegetables,12
napkins,roll products,12
waffles,semi-finished bread,12
chocolate,finished products,12
flower (seeds),citrus fruit,12
cat food,meat,12
cat food,soft cheese,12
kitchen towels,yogurt,12
seasonal products,waffles,12
light bulbs,yogurt,12
kitchen towels,rolls/buns,12
mayonnaise,pip fruit,12
oil,hard cheese,12
rolls/buns,tidbits,12
hygiene articles,pasta,12
candles,yogurt,12
salty snack,cat food,12
bottled beer,condensed milk,12
dog food,beef,12
flower (seeds),tropical fruit,12
popcorn,sausage,12
jam,butter,12
bottled water,jam,12
candy,beef,12
semi-finished bread,butter,12
canned vegetables,hard cheese,12
shopping bags,frozen dessert,12
potted plants,napkins,12
chocolate,ice cream,12
canned beer,frozen meals,12
newspapers,sweet spreads,12
cream cheese,herbs,12
frozen meals,berries,12
cat food,frozen meals,12
ice cream,curd,12
shopping bags,rice,12
specialty cheese,sausage,12
flower (seeds),frozen vegetables,12
ice cream,meat,12
sweet spreads,domestic eggs,12
jam,beef,12
spices,yogurt,12
frozen meals,onions,12
white wine,tropical fruit,12
sauces,hamburger meat,12
cling film/bags,sausage,12
Instant food products,butter,12
flour,frozen vegetables,12
specialty bar,bottled beer,12
soda,turkey,12
white wine,citrus fruit,12
meat spreads,cream cheese,11
newspapers,processed cheese,11
waffles,flour,11
spices,rolls/buns,11
artif. sweetener,whole milk,11
detergent,grapes,11
spread cheese,cream cheese,11
hard cheese,UHT-milk,11
pickled vegetables,processed cheese,11
frozen potato products,tropical fruit,11
chocolate,frozen potato products,11
candles,butter,11
specialty chocolate,oil,11
brandy,rolls/buns,11
waffles,red/blush wine,11
detergent,hamburger meat,11
detergent,pasta,11
photo/film,yogurt,11
shopping bags,softener,11
chewing gum,bottled beer,11
dishes,oil,11
canned fruit,citrus fruit,11
sugar,soft cheese,11
cake bar,salty snack,11
frozen fish,butter,11
frozen fish,sliced cheese,11
cereals,curd,11
waffles,soft cheese,11
specialty bar,cake bar,11
shopping bags,salt,11
spices,pip fruit,11
dish cleaner,beef,11
canned beer,ice cream,11
tea,rolls/buns,11
salty snack,sliced cheese,11
cereals,rolls/buns,11
canned vegetables,dessert,11
hygiene articles,canned fish,11
beef,turkey,11
hygiene articles,sliced cheese,11
soups,domestic eggs,11
domestic eggs,packaged fruit/vegetables,11
mustard,curd,11
misc. beverages,pickled vegetables,11
specialty chocolate,butter milk,11
pet care,pip fruit,11
fruit/vegetable juice,pet care,11
dish cleaner,frankfurter,11
specialty bar,cat food,11
napkins,pasta,11
softener,soda,11
cat food,oil,11
frozen potato products,beef,11
hygiene articles,ice cream,11
house keeping products,hygiene articles,11
roll products,frozen vegetables,11
honey,whole milk,11
snack products,rolls/buns,11
photo/film,rolls/buns,11
turkey,sausage,11
misc. beverages,beef,11
napkins,rice,11
fruit/vegetable juice,frozen dessert,11
coffee,mayonnaise,11
dish cleaner,oil,11
dish cleaner,cat food,11
napkins,frozen potato products,11
bottled water,frozen potato products,11
snack products,soda,11
liquor (appetizer),frozen vegetables,11
chewing gum,frozen vegetables,11
white wine,domestic eggs,11
soap,whole milk,11
long life bakery product,red/blush wine,11
potted plants,herbs,11
coffee,soups,11
newspapers,Instant food products,11
roll products,pastry,11
candy,grapes,11
Instant food products,citrus fruit,11
shopping bags,female sanitary products,11
sugar,meat,11
dishes,margarine,11
vinegar,frankfurter,11
vinegar,pastry,11
white wine,brown bread,11
napkins,white wine,11
cat food,onions,11
seasonal products,whipped/sour cream,11
cake bar,citrus fruit,11
cake bar,frozen vegetables,11
seasonal products,candy,11
margarine,packaged fruit/vegetables,11
house keeping products,long life bakery product,11
flower (seeds),brown bread,11
soups,frozen vegetables,11
frozen meals,beverages,11
dishes,sugar,11
instant coffee,frozen vegetables,11
newspapers,instant coffee,11
waffles,meat,11
shopping bags,Instant food products,11
sweet spreads,brown bread,11
salt,chicken,11
newspapers,cake bar,11
white wine,beef,11
chewing gum,white bread,11
baking powder,grapes,11
canned beer,grapes,11
chewing gum,pork,11
brown bread,mayonnaise,11
photo/film,soda,11
shopping bags,flower (seeds),11
vinegar,citrus fruit,11
cake bar,domestic eggs,11
house keeping products,curd,11
potted plants,detergent,11
hard cheese,chicken,11
specialty fat,other vegetables,11
dog food,pip fruit,11
long life bakery product,frozen fish,11
softener,pip fruit,11
cling film/bags,long life bakery product,11
artif. sweetener,yogurt,11
sliced cheese,grapes,11
margarine,rice,11
soda,zwieback,11
dental care,yogurt,11
processed cheese,chicken,11
misc. beverages,cat food,11
flour,dessert,11
mayonnaise,citrus fruit,11
sugar,processed cheese,11
semi-finished bread,chicken,11
specialty chocolate,white bread,11
soups,frankfurter,11
specialty chocolate,hamburger meat,11
salty snack,meat,11
salty snack,semi-finished bread,11
flower (seeds),pastry,11
flower (seeds),bottled beer,11
specialty cheese,onions,11
canned vegetables,onions,11
dish cleaner,brown bread,11
white bread,frozen potato products,11
syrup,other vegetables,11
soda,rice,11
ketchup,yogurt,11
specialty chocolate,chewing gum,11
pickled vegetables,hamburger meat,11
mayonnaise,cream cheese,11
sugar,pasta,11
popcorn,tropical fruit,11
cleaner,soda,11
soft cheese,pork,11
ice cream,onions,11
rolls/buns,specialty cheese,11
cat food,hard cheese,11
newspapers,canned vegetables,11
softener,detergent,11
detergent,meat,11
sweet spreads,hamburger meat,11
detergent,dessert,11
shopping bags,roll products,11
ice cream,butter milk,11
margarine,ice cream,11
candy,semi-finished bread,11
cat food,semi-finished bread,11
sweet spreads,cream cheese,11
chocolate,spread cheese,11
hygiene articles,grapes,11
white wine,butter,11
liquor,rolls/buns,11
pickled vegetables,onions,11
jam,tropical fruit,11
canned fruit,other vegetables,11
canned fish,pork,11
liquor,root vegetables,11
hard cheese,dessert,11
chewing gum,sugar,11
pastry,frozen fish,11
napkins,cake bar,11
semi-finished bread,berries,11
processed cheese,dessert,11
mustard,pip fruit,11
sweet spreads,pastry,11
frozen potato products,frozen vegetables,11
soda,liver loaf,11
dental care,soda,11
bottled beer,tea,11
soft cheese,hamburger meat,11
canned fish,pickled vegetables,11
photo/film,other vegetables,11
spices,tropical fruit,11
UHT-milk,ham,11
specialty cheese,butter,11
red/blush wine,beef,11
popcorn,rolls/buns,11
chocolate,canned vegetables,11
abrasive cleaner,yogurt,10
bathroom cleaner,other vegetables,10
artif. sweetener,other vegetables,10
cereals,tropical fruit,10
cereals,domestic eggs,10
cereals,pastry,10
soda,cereals,10
baking powder,brown bread,10
seasonal products,salty snack,10
sparkling wine,whole milk,10
frozen vegetables,condensed milk,10
oil,salt,10
rice,hamburger meat,10
rice,whipped/sour cream,10
chocolate,rice,10
bathroom cleaner,soda,10
softener,sausage,10
red/blush wine,frozen vegetables,10
dessert,packaged fruit/vegetables,10
semi-finished bread,dessert,10
rice,sausage,10
rice,hard cheese,10
misc. beverages,sugar,10
dishes,dessert,10
candles,sausage,10
cling film/bags,beef,10
cake bar,waffles,10
frozen meals,soft cheese,10
frozen fish,cream cheese,10
cereals,whipped/sour cream,10
waffles,frozen fish,10
spread cheese,beef,10
sugar,condensed milk,10
flower (seeds),sausage,10
canned vegetables,curd,10
canned fish,dessert,10
canned fish,sugar,10
skin care,yogurt,10
napkins,frozen dessert,10
soups,sugar,10
curd,packaged fruit/vegetables,10
pickled vegetables,mustard,10
napkins,vinegar,10
flour,hamburger meat,10
chocolate,chewing gum,10
abrasive cleaner,sausage,10
misc. beverages,berries,10
detergent,specialty chocolate,10
misc. beverages,ham,10
dish cleaner,curd,10
curd cheese,root vegetables,10
frozen meals,butter milk,10
liver loaf,sausage,10
coffee,sweet spreads,10
long life bakery product,sweet spreads,10
salty snack,baking powder,10
frozen vegetables,specialty cheese,10
bottled water,canned vegetables,10
frozen vegetables,liver loaf,10
hygiene articles,semi-finished bread,10
canned fish,mustard,10
white bread,frozen dessert,10
male cosmetics,yogurt,10
mustard,berries,10
chocolate,frozen fish,10
napkins,packaged fruit/vegetables,10
chocolate marshmallow,coffee,10
roll products,hamburger meat,10
butter,packaged fruit/vegetables,10
flour,meat,10
canned fish,hamburger meat,10
newspapers,soups,10
bottled water,Instant food products,10
canned beer,white bread,10
dish cleaner,chicken,10
newspapers,chocolate marshmallow,10
candles,coffee,10
cat food,sliced cheese,10
dishes,cat food,10
roll products,frankfurter,10
instant coffee,pastry,10
UHT-milk,grapes,10
flower (seeds),frankfurter,10
seasonal products,cream cheese,10
napkins,seasonal products,10
liquor (appetizer),yogurt,10
cake bar,margarine,10
flower (seeds),domestic eggs,10
female sanitary products,bottled water,10
mustard,whipped/sour cream,10
